Distance_(cm)	Gray_Value
1.64148	57.2598
1.64371	56.8724
1.64594	56.8303
1.64817	56.7342
1.65040	56.7583
1.65263	56.7222
1.65486	57.2988
1.65709	58.3904
1.65932	60.8198
1.66155	63.5255
1.66378	66.5586
1.66601	68.7778
1.66824	71.0120
1.67048	72.4189
1.67271	73.1952
1.67494	72.7793
1.67717	72.0510
1.67940	71.0886
1.68163	70.7853
1.68386	70.8198
1.68609	70.9835
1.68832	70.9775
1.69055	70.8108
1.69278	70.4580
1.69501	70.7312
1.69724	71.0781
1.69947	72.2087
1.70170	73.3859
1.70393	74.5646
1.70616	75.5631
1.70839	76.8108
1.71062	77.9009
1.71285	78.8769
1.71508	79.8258
1.71731	81.0916
1.71954	81.8303
1.72177	82.8378
1.72400	83.5015
1.72623	83.9354
1.72846	84.0060
1.73069	83.9339
1.73292	83.5060
1.73515	83.3108
1.73738	83.1907
1.73961	83.0751
1.74184	82.8498
1.74407	82.4024
1.74630	81.9324
1.74853	81.7192
1.75076	81.7943
1.75300	82.3949
1.75523	83.0105
1.75746	83.7553
1.75969	84.1817
1.76192	84.1907
1.76415	84.1111
1.76638	84.0480
1.76861	83.7057
1.77084	83.4490
1.77307	83.0781
1.77530	82.6021
1.77753	82.2237
1.77976	82.1802
1.78199	82.1922
1.78422	82.3784
1.78645	82.5871
1.78868	82.7553
1.79091	82.6802
1.79314	82.6186
1.79537	82.4204
1.79760	82.4219
1.79983	82.3859
1.80206	82.5450
1.80429	82.8889
1.80652	83.9670
1.80875	85.2973
1.81098	86.4805
1.81321	86.9490
1.81544	87.0030
1.81767	86.2748
1.81990	85.3724
1.82213	84.1411
1.82436	82.5916
1.82659	81.3453
1.82882	81.0510
1.83105	81.5556
1.83328	83.0240
1.83552	84.5901
1.83775	86.0991
1.83998	87.1051
1.84221	88.0285
1.84444	88.6411
1.84667	89.4159
1.84890	89.9595
1.85113	90.5270
1.85336	90.4820
1.85559	90.4655
1.85782	90.2823
1.86005	89.8754
1.86228	89.7102
1.86451	89.2928
1.86674	88.8709
1.86897	88.1802
1.87120	87.2778
1.87343	86.3093
1.87566	85.4625
1.87789	84.3829
1.88012	83.2823
1.88235	81.8183
1.88458	80.2417
1.88681	78.5916
1.88904	77.1877
1.89127	76.4369
1.89350	76.3889
1.89573	76.8378
1.89796	77.5045
1.90019	77.9444
1.90242	78.1742
1.90465	78.2568
1.90688	77.8198
1.90911	76.8649
1.91134	75.6757
1.91357	74.5180
1.91581	73.7147
1.91804	73.4099
1.92027	73.5841
1.92250	74.0811
1.92473	74.9910
1.92696	76.2853
1.92919	77.4339
1.93142	77.8138
1.93365	77.8919
1.93588	77.2643
1.93811	76.4084
1.94034	74.9084
1.94257	73.1577
1.94480	70.6622
1.94703	68.6306
1.94926	66.2012
1.95149	64.3048
1.95372	62.5901
