Distance_(pixels),Gray_Value
1043,39.0833
1044,39.2857
1045,38.8889
1046,38.9405
1047,39.1389
1048,39.5040
1049,39.5595
1050,41.1270
1051,40.9921
1052,40.4127
1053,39.6508
1054,38.8810
1055,38.5714
1056,37.7421
1057,36.6746
1058,34.5714
1059,34.7500
1060,34.7421
1061,34.6389
1062,34.9643
1063,35.4921
1064,35.7937
1065,35.8532
1066,35.6032
1067,35.0635
1068,34.5476
1069,34.0040
1070,34.0198
1071,33.9365
1072,34.2579
1073,34.3571
1074,34.4246
1075,34.3333
1076,33.7262
1077,31.7659
1078,29.4841
1079,27.8095
1080,27.0992
1081,26.6667
